"candidate_name","candidate_party","candidate_votes","total_registered_votes","total_polled_votes","total_valid_votes","total_rejected_votes","PA_ID","year","failed","sum_valid_votes"
"Moulana Abdul Akbar Chitrali","Muttahida Majlis-e-Amal Pakistan",48616,"269579","164355","158925","5430","NA-1",2018,0,158925
"Saeed ur Rehman","Pakistan Rah-e-Haq Party",3223,"269579","164355","158925","5430","NA-1",2018,0,158925
"Muhammad Yahya","Independent",698,"269579","164355","158925","5430","NA-1",2018,0,158925
"Shahzada Muhammad Taimur Khisrao","Independent",2414,"269579","164355","158925","5430","NA-1",2018,0,158925
"Eid Ul Hussain","Awami National Party",3613,"269579","164355","158925","5430","NA-1",2018,0,158925
"Muhammad Amjad","All Pakistan Muslim League",6755,"269579","164355","158925","5430","NA-1",2018,0,158925
"Taqdira Ajmal","Independent",681,"269579","164355","158925","5430","NA-1",2018,0,158925
"Abdul Latif","Pakistan Tehreek-e-Insaf",38481,"269579","164355","158925","5430","NA-1",2018,0,158925
"Iftikhar Ud Din","Pakistan Muslim League (N)",21016,"269579","164355","158925","5430","NA-1",2018,0,158925
"Nisar Dastageer","Independent",793,"269579","164355","158925","5430","NA-1",2018,0,158925
"Saleem Khan","Pakistan Peoples Party Parliamentarians",32635,"269579","164355","158925","5430","NA-1",2018,0,158925
"Amir Sultan","Muttahida Majlis-e-Amal Pakistan",20800,"374343","128302","123670","4632","NA-10",2018,0,123670
"Bakht Nasib Khan","Awami Workers Party",1200,"374343","128302","123670","4632","NA-10",2018,0,123670
"Hamid Iqbal Khan","Pakistan Peoples Party Parliamentarians",5642,"374343","128302","123670","4632","NA-10",2018,0,123670
"Ibadullah Khan","Pakistan Muslim League (N)",34070,"374343","128302","123670","4632","NA-10",2018,0,123670
"Praviz Ahmad","Independent",1093,"374343","128302","123670","4632","NA-10",2018,0,123670
"Sadeed ur Rahman","Awami National Party",32665,"374343","128302","123670","4632","NA-10",2018,0,123670
"Safeer Khan","Independent",121,"374343","128302","123670","4632","NA-10",2018,0,123670
"Said Fareen","Independent",247,"374343","128302","123670","4632","NA-10",2018,0,123670
"Waqar Ahmad Khan","Pakistan Tehreek-e-Insaf",27832,"374343","128302","123670","4632","NA-10",2018,0,123670
"ARSHAD AHMAD","Muttahida Majlis-e-Amal Pakistan",455,"362673","223684","216487","7197","NA-100",2018,0,216487
"SHAHBAZ ALI HUSSAINI","Pakistan Kissan Ittehad(Ch. Anwar)",2126,"362673","223684","216487","7197","NA-100",2018,0,216487
"SYED INAYAT ALI SHAH","Pakistan Peoples Party Parliamentarians",40542,"362673","223684","216487","7197","NA-100",2018,0,216487
"MUHAMMAD ALI SHAH","Awami Justice Party Pakistan",353,"362673","223684","216487","7197","NA-100",2018,0,216487
"UMAR DRAZ","Independent",1208,"362673","223684","216487","7197","NA-100",2018,0,216487
"MUHAMMAD NAWAZ","Allah-o-Akbar Tehreek",1445,"362673","223684","216487","7197","NA-100",2018,0,216487
"QAISER AHMED SHEIKH","Pakistan Muslim League (N)",76415,"362673","223684","216487","7197","NA-100",2018,0,216487
"ZULFIQAR ALI SHAH","Pakistan Tehreek-e-Insaf",75559,"362673","223684","216487","7197","NA-100",2018,0,216487
"MUHAMMAD IMRAN","Independent",1735,"362673","223684","216487","7197","NA-100",2018,0,216487
"MUHAMMAD USMAN","Tehreek-e-Labbaik Pakistan",6593,"362673","223684","216487","7197","NA-100",2018,0,216487
"SHEIKH KAISER MEHMOOD","Independent",5954,"362673","223684","216487","7197","NA-100",2018,0,216487
"NOREEN BASIT","Independent",3723,"362673","223684","216487","7197","NA-100",2018,0,216487
"ARSHAD ABBAS SHAH","Jamhoori Wattan Party",379,"362673","223684","216487","7197","NA-100",2018,0,216487
"Shabbir Ahmad","Independent",588,"459268","267262","260844","6418","NA-101",2018,0,260844
"Afifa Saddiqui","Muttahida Majlis-e-Amal Pakistan",325,"459268","267262","260844","6418","NA-101",2018,0,260844
"Ishfaq Ahmad","Tehreek-e-Labbaik Islam",1523,"459268","267262","260844","6418","NA-101",2018,0,260844
"Imdad Ali","Allah-o-Akbar Tehreek",5343,"459268","267262","260844","6418","NA-101",2018,0,260844
"Muhammad Azeem Aslam","Independent",253,"459268","267262","260844","6418","NA-101",2018,0,260844
"Sajjad Ahmad","All Pakistan Muslim League",406,"459268","267262","260844","6418","NA-101",2018,0,260844
"Zafar Zulqarnain Sahi","Pakistan Tehreek-e-Insaf",86575,"459268","267262","260844","6418","NA-101",2018,0,260844
"Muhammad Zahir","Independent",439,"459268","267262","260844","6418","NA-101",2018,0,260844
"Muhammad Asim Nazir","Independent",147812,"459268","267262","260844","6418","NA-101",2018,0,260844
"Iftikhar Ali","Tehreek-e-Labbaik Pakistan",9962,"459268","267262","260844","6418","NA-101",2018,0,260844
"Rizwan Liaqat","Independent",942,"459268","267262","260844","6418","NA-101",2018,0,260844
"Fawad Ahmad Cheema","Independent",329,"459268","267262","260844","6418","NA-101",2018,0,260844
"TARIQ MEHMOOD","Pakistan Peoples Party Parliamentarians",6088,"459268","267262","260844","6418","NA-101",2018,0,260844
"Farman Ali Khan","Independent",259,"459268","267262","260844","6418","NA-101",2018,0,260844
"CHAUDHARY MUHAMMAD TAYYAB ARIF","Independent",561,"499195","272926","266192","6737","NA-102",2018,0,266192
"IRFAN SHAHID WASSIR","Independent",1361,"499195","272926","266192","6737","NA-102",2018,0,266192
"KASHIF ALTAF","Allah-o-Akbar Tehreek",6127,"499195","272926","266192","6737","NA-102",2018,0,266192
"MUHAMMAD AKRAM CHAUHDARY","Independent",8573,"499195","272926","266192","6737","NA-102",2018,0,266192
"MUHAMMAD ASHRAF CHAUDHARY","Independent",67,"499195","272926","266192","6737","NA-102",2018,0,266192
"MUHAMMAD BILAL BADAR","Independent",472,"499195","272926","266192","6737","NA-102",2018,0,266192
"MUHAMMAD KAMRAN","Move on Pakistan",1874,"499195","272926","266192","6737","NA-102",2018,0,266192
"MUHAMMAD SHAHJAHAN KHAN","Pakistan Peoples Party Parliamentarians",19546,"499195","272926","266192","6737","NA-102",2018,0,266192
"MUHAMMAD TALLAL BADAR","Pakistan Muslim League (N)",97869,"499195","272926","266192","6737","NA-102",2018,0,266192
"NAWAB SHER","Pakistan Tehreek-e-Insaf",109708,"499195","272926","266192","6737","NA-102",2018,0,266192
"RASHEED AHMAD KHAN RANA","All Pakistan Muslim League",714,"499195","272926","266192","6737","NA-102",2018,0,266192
"RIAZ AHMAD","Pakistan Peoples Party (Shaheed Bhutto)",975,"499195","272926","266192","6737","NA-102",2018,0,266192
"SADIA AKHTAR","Independent",295,"499195","272926","266192","6737","NA-102",2018,0,266192
"SANAULLAH QAMAR BAJWA","Independent",115,"499195","272926","266192","6737","NA-102",2018,0,266192
"SYED TAYYAB RAZA SHAH","Tehreek-e-Labbaik Pakistan",16091,"499195","272926","266192","6737","NA-102",2018,0,266192
"UMAIR WASI CHOUDHARY","Independent",1844,"499195","272926","266192","6737","NA-102",2018,0,266192
"Abdul Khaliq","Allah-o-Akbar Tehreek",4289,"493818","275925","267809","8116","NA-104",2018,0,267809
"Ch  Muhammad Shahbaz Babar","Pakistan Muslim League (N)",95099,"493818","275925","267809","8116","NA-104",2018,0,267809
"ch mazhar ali gill","Independent",865,"493818","275925","267809","8116","NA-104",2018,0,267809
"Fahd Ghaffar","Tehreek-e-Labbaik Pakistan",6393,"493818","275925","267809","8116","NA-104",2018,0,267809
"Khalid Mehmood Gill","Independent",57362,"493818","275925","267809","8116","NA-104",2018,0,267809
"Muhammad Bilal Farooq Khan","Independent",1016,"493818","275925","267809","8116","NA-104",2018,0,267809
"Muhammad Faheem Akhtar","Independent",2258,"493818","275925","267809","8116","NA-104",2018,0,267809
"Muhammad Shoukat Iqbal","Independent",626,"493818","275925","267809","8116","NA-104",2018,0,267809
"Muhammad Younas","Independent",382,"493818","275925","267809","8116","NA-104",2018,0,267809
"Raheel Abid","Tehreek-e-Labbaik Islam",3043,"493818","275925","267809","8116","NA-104",2018,0,267809
"Rana Muhammad Farooq Saeed Khan","Pakistan Peoples Party Parliamentarians",21718,"493818","275925","267809","8116","NA-104",2018,0,267809
"Sardar Dildar Ahmad Cheema","Pakistan Tehreek-e-Insaf",73320,"493818","275925","267809","8116","NA-104",2018,0,267809
"Sardar Sarfraz Ahmad Cheema","Independent",536,"493818","275925","267809","8116","NA-104",2018,0,267809
"Shafqat Rasul","Independent",902,"493818","275925","267809","8116","NA-104",2018,0,267809
"Nadeem Hayat Khan","Independent",565,"440419","250355","241220","9135","NA-105",2018,0,240501
"Ibrar Hussain","Tehreek-e-Labbaik Pakistan",15237,"440419","250355","241220","9135","NA-105",2018,0,240501
"Asif Touseef","Independent",168,"440419","250355","241220","9135","NA-105",2018,0,240501
"Raza Nasrullah","Pakistan Tehreek-e-Insaf",77862,"440419","250355","241220","9135","NA-105",2018,0,240501
"Tariq Ali","Pakistan Muslim Alliance",106,"440419","250355","241220","9135","NA-105",2018,0,240501
"Ahsan Raza","Independent",243,"440419","250355","241220","9135","NA-105",2018,0,240501
"Mian Muhammad Farooq","Pakistan Muslim League (N)",56540,"440419","250355","241220","9135","NA-105",2018,0,240501
"mian moazzam farooq","Independent",6472,"440419","250355","241220","9135","NA-105",2018,0,240501
"Muhammad Qasim Farooq","Independent",822,"440419","250355","241220","9135","NA-105",2018,0,240501
"Umar Farooq","Independent",290,"440419","250355","241220","9135","NA-105",2018,0,240501
"Muhammad Masood Nazir","Independent",69211,"440419","250355","241220","9135","NA-105",2018,0,240501
"Mohammad Ejaz Choudhry","Pakistan Peoples Party Parliamentarians",5795,"440419","250355","241220","9135","NA-105",2018,0,240501
"Nawaz Ahmad Cheema","Allah-o-Akbar Tehreek",7190,"440419","250355","241220","9135","NA-105",2018,0,240501
